taxonomy_UHGP,Phyla,Loop_Class_Final
Bacteria_unclassified_1,,CTD
Bacteroides_cellulosilyticus_2,Bacteroidota,Loop_2
Bacteroides_cellulosilyticus_3,Bacteroidota,Loop_2
Bacteroides_uniformis_1,Bacteroidota,Loop_2
Bacteroides_uniformis_8,Bacteroidota,No_Loop
Blautia_A_obeum,Firmicutes_A,Mini-Loop_1
CAG_180_sp000432435_1,Firmicutes_A,No_Loop
Eubacterium_R_sp000433975,Firmicutes_A,CTD
Faecalibacterium_prausnitzii_2,Firmicutes_A,No_Loop
Faecalibacterium_prausnitzii_C_2,Firmicutes_A,CTD
Faecalibacterium_prausnitzii_E_1,Firmicutes_A,CTD
Faecalibacterium_prausnitzii_E_2,Firmicutes_A,Loop_1
Faecalibacterium_prausnitzii_G_2,Firmicutes_A,No_Loop
Faecalibacterium_prausnitzii_G_5,Firmicutes_A,CTD
Faecalibacterium_prausnitzii_H,Firmicutes_A,No_Loop
Faecalibacterium_species_3,Firmicutes_A,CTD
Faecalimonas_umbilicata,Firmicutes_A,No_Loop
Fusicatenibacter_saccharivorans_3,Firmicutes_A,NTL
Gemmiger_formicilis_1,Firmicutes_A,Mini-Loop_1
Gemmiger_formicilis_2,Firmicutes_A,Mini-Loop_1
Gemmiger_formicilis_3,Firmicutes_A,No_Loop
Gemmiger_formicilis_4,Firmicutes_A,Mini-Loop_1
Gemmiger_formicilis_5,Firmicutes_A,No_Loop
Gemmiger_qucibialis_11,Firmicutes_A,CTD
Gemmiger_qucibialis_12,Firmicutes_A,No_Loop
Gemmiger_qucibialis_14,Firmicutes_A,No_Loop
Gemmiger_qucibialis_3,Firmicutes_A,Loop_1
Gemmiger_qucibialis_4,Firmicutes_A,CTD
Gemmiger_qucibialis_5,Firmicutes_A,No_Loop
Gemmiger_qucibialis_6,Firmicutes_A,No_Loop
Gemmiger_qucibialis_7,Firmicutes_A,CTD
Gemmiger_qucibialis_8,Firmicutes_A,No_Loop
Gemmiger_qucibialis_8,Firmicutes_A,CTD
Gemmiger_sp900540775,Firmicutes_A,No_Loop
Gemmiger_species_1,Firmicutes_A,No_Loop
Lachnospiraceae_multispecies_1,Firmicutes_A,CTD
Lachnospiraceae_multispecies_2,Firmicutes_A,CTD
Lachnospiraceae_unclassified_2,Firmicutes_A,CTD
Phocaeicola_dorei_2,Bacteroidota,Mini-Loop_1
Phocaeicola_dorei_3,Bacteroidota,No_Loop
Phocaeicola_massiliensis_2,Bacteroidota,Mini-Loop_1
RC9_sp000433355,Bacteroidota,Loop_2
Roseburia_hominis_2,Firmicutes_A,CTD
Roseburia_sp900552665,Firmicutes_A,CTD
Ruminococcaceae_unclassified_3,Firmicutes_A,No_Loop
Ruminococcaceae_unclassified_6,Firmicutes_A,Mini-Loop_1
Ruminococcus_B_gnavus_1,Firmicutes_A,No_Loop
Ruminococcus_B_gnavus_3,Firmicutes_A,CTD
Ruminococcus_B_gnavus_6,Firmicutes_A,CTD
UBA11524_sp000437595_3,Firmicutes_A,No_Loop
UBA11524_sp000437595_5,Firmicutes_A,Mini-Loop_1
